Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,PR AUC,Gini,False Positives,False Negatives,False Positive Rate,False Negative Rate
XGBoost,0.920572210122574,0.8151591338751486,0.7786900506404528,0.796507365193628,0.9629898871512379,0.8837483894683629,0.9259797743024758,9484,11887,0.044039934989551895,0.2213099493595472
LightGBM,0.8950539280909233,0.6731179580575452,0.9220658325886207,0.7781662201761346,0.9628053872992813,0.8826400003533585,0.9256107745985627,24051,4186,0.11168330624564662,0.07793416741137921
Random Forest,0.917468836179022,0.8153122497998398,0.758359398272267,0.7858052318851764,0.9587707862463023,0.8627840334664127,0.9175415724926046,9227,12979,0.04284652890643139,0.2416406017277331
Decision Tree,0.8893972392980056,0.660790763240921,0.916350163836759,0.7678650826462398,0.9570542813311304,0.8710328659687921,0.9141085626622607,25266,4493,0.11732528442071047,0.083649836163241
Logistic Regression,0.901398190751574,0.6954639590404418,0.9003016085790885,0.7847359709194768,0.9566560841233649,0.853461841248019,0.9133121682467298,21175,5355,0.09832830276294405,0.09969839142091153
