0
loan_amnt
funded_amnt
funded_amnt_inv
int_rate
installment
sub_grade
annual_inc
dti
delinq_2yrs
fico_range_low
fico_range_high
inq_last_6mths
mths_since_last_delinq
mths_since_last_record
open_acc
pub_rec
revol_bal
revol_util
total_acc
initial_list_status
last_fico_range_high
last_fico_range_low
collections_12_mths_ex_med
mths_since_last_major_derog
policy_code
application_type
acc_now_delinq
tot_coll_amt
tot_cur_bal
open_acc_6m
open_act_il
open_il_12m
open_il_24m
mths_since_rcnt_il
total_bal_il
il_util
open_rv_12m
open_rv_24m
max_bal_bc
all_util
total_rev_hi_lim
inq_fi
total_cu_tl
inq_last_12m
acc_open_past_24mths
avg_cur_bal
bc_open_to_buy
bc_util
chargeoff_within_12_mths
delinq_amnt
mo_sin_old_il_acct
mo_sin_old_rev_tl_op
mo_sin_rcnt_rev_tl_op
mo_sin_rcnt_tl
mort_acc
mths_since_recent_bc
mths_since_recent_bc_dlq
mths_since_recent_inq
mths_since_recent_revol_delinq
num_accts_ever_120_pd
num_actv_bc_tl
num_actv_rev_tl
num_bc_sats
num_bc_tl
num_il_tl
num_op_rev_tl
num_rev_accts
num_rev_tl_bal_gt_0
num_sats
num_tl_120dpd_2m
num_tl_30dpd
num_tl_90g_dpd_24m
num_tl_op_past_12m
pct_tl_nvr_dlq
percent_bc_gt_75
pub_rec_bankruptcies
tax_liens
tot_hi_cred_lim
total_bal_ex_mort
total_bc_limit
total_il_high_credit_limit
disbursement_method
debt_settlement_flag
loan_income_ratio
installment_income_ratio
fico_average
long_term_loan
high_revol_util
high_dti
prime_borrower
emp_years
interest_band
income_band
loan_band
purpose_car
purpose_credit_card
purpose_debt_consolidation
purpose_educational
purpose_home_improvement
purpose_house
purpose_major_purchase
purpose_medical
purpose_moving
purpose_other
purpose_renewable_energy
purpose_small_business
purpose_vacation
purpose_wedding
home_ownership_ANY
home_ownership_MORTGAGE
home_ownership_NONE
home_ownership_OTHER
home_ownership_OWN
home_ownership_RENT
verification_status_Not Verified
verification_status_Source Verified
verification_status_Verified
addr_state_AK
addr_state_AL
addr_state_AR
addr_state_AZ
addr_state_CA
addr_state_CO
addr_state_CT
addr_state_DC
addr_state_DE
addr_state_FL
addr_state_GA
addr_state_HI
addr_state_IA
addr_state_ID
addr_state_IL
addr_state_IN
addr_state_KS
addr_state_KY
addr_state_LA
addr_state_MA
addr_state_MD
addr_state_ME
addr_state_MI
addr_state_MN
addr_state_MO
addr_state_MS
addr_state_MT
addr_state_NC
addr_state_ND
addr_state_NE
addr_state_NH
addr_state_NJ
addr_state_NM
addr_state_NV
addr_state_NY
addr_state_OH
addr_state_OK
addr_state_OR
addr_state_PA
addr_state_RI
addr_state_SC
addr_state_SD
addr_state_TN
addr_state_TX
addr_state_UT
addr_state_VA
addr_state_VT
addr_state_WA
addr_state_WI
addr_state_WV
addr_state_WY
credit_history_years
